name;id;tensor_size;startIdx;endIdx;type
Q_WEIGHT;0;301989888;0;0;0
K_WEIGHT;1;301989888;1;1;0
V_WEIGHT;2;301989888;2;2;0
Q_MHA1_INTERMEDIATE;3;50331648;0;3;1
K_MHA1_INTERMEDIATE;4;50331648;1;3;1
V_MHA2_INTERMEDIATE;5;50331648;2;5;1
MHA1_SOFTMAX_INTERMEDIATE;6;805306368;3;4;1
SOFTMAX_MHA2_INTERMEDIATE;7;805306368;4;5;1
MHA2_PROJ_GEMM_INTERMEDIATE;8;50331648;5;6;1
PROJ_GEMM_WEIGHT;9;301989888;6;6;0
PROJ_GEMM_FFN0_INTERMEDIATE;10;50331648;6;7;1
FFN0_WEIGHT;11;1207959552;7;7;0
FFN0_FFN1_INTERMEDIATE;12;201326592;7;8;1
FFN1_WEIGHT;13;1207959552;8;8;0
